1,XBTDWEACIPRUHZS,IPRUHZSTBDWEAC,"False,True,True,True,True,True,True,True,True,True,True,True,True,True,True",14,15
2,DURWNZIOQJVPMES,OQJVMEPSDURIW,"True,True,True,True,False,False,True,True,True,True,True,True,True,True,True",13,15
3,CYRIDQKZBLWEUGT,BELUGTWZ,"False,False,False,False,False,False,False,True,True,True,True,True,True,True,True",8,15
4,QECFZGIVKNTYLDA,IVKYNTLDAFZ,"False,False,False,True,True,False,True,True,True,True,True,True,True,True,True",11,15
5,UXWGLIOTSKFAZPM,FAZPMGLIOTSKQ,"False,False,False,True,True,True,True,True,True,True,True,True,True,True,True",12,15
6,QJVGAYCSFKURLMH,FKURLMHGAY,"False,False,False,True,True,True,False,False,True,True,True,True,True,True,True",10,15
7,ATPESGHWUMVFCDZ,Z,"False,False,False,False,False,False,False,False,False,False,False,False,False,False,True",1,15
8,ZIFWJQSNCTRHBOY,NCTRHBOVWJ,"False,False,False,True,True,False,False,True,True,True,True,True,True,True,False",9,15
9,OPXMUTWHICGVSQL,GVSQLUTVHIC,"False,False,False,False,True,True,False,True,True,True,True,True,True,True,True",10,15
10,KYZNEUXFHOLSRMV,LSRMVNEUX,"False,False,False,True,True,True,True,False,False,False,True,True,True,True,True",9,15
11,MUJFLCVNXQPBSAT,PBSATMUJQLM,"True,True,True,False,True,False,False,False,False,True,True,True,True,True,True",10,15
12,XOBZDFJRVPKSHLT,KSHLTJRVPXUN,"True,False,False,False,False,False,True,True,True,True,True,True,True,True,True",10,15
13,ZUAPXNJVCQKMHTL,MHTLVXUP,"False,True,False,True,True,False,False,True,False,False,False,True,True,True,True",8,15
14,BMWXIFOVQGASKPT,ASPKPTBMWGQ,"True,True,True,False,False,False,False,False,True,True,True,True,True,True,True",10,15
15,HNZEQMRXWSJLBOU,LBOUMRWJK,"False,False,False,False,False,True,True,False,True,False,True,True,True,True,True",8,15
16,ZHCETAGFLWBXRDV,LWBXRDVAGF,"False,False,False,False,False,True,True,True,True,True,True,True,True,True,True",10,15
17,QBAIFDVTHKOEPCY,FDWTEHOKYLQBAI,"True,True,True,True,True,True,False,True,True,True,True,True,False,False,True",12,15
18,VBSOWECNIHKXDZF,XDZFCNE,"False,False,False,False,False,True,True,True,False,False,False,True,True,True,True",7,15
19,RBLSIXZVPJEFOWD,PJEOFVWRBLE,"True,True,True,False,False,False,False,True,True,True,True,True,True,True,False",10,15
20,KLVGAEMHPDJCBRW,CBRWVGHAILF,"False,True,True,True,True,False,False,True,False,False,False,True,True,True,True",9,15
1,CTBPMLRQGAUXJOI,GAUXIP,"False,False,False,True,False,False,False,False,True,True,True,True,False,False,True",6,15
2,XTKACHUISEWVPDY,PDYUIXTKH,"True,True,True,False,False,True,True,True,False,False,False,False,True,True,True",9,15
3,JRCWUVEYMATBOHX,VEYATBOX,"False,False,False,False,False,True,True,True,False,True,True,True,True,False,True",8,15
4,XAVOGUCSBJPDWQF,FQXJPDR,"True,False,False,False,False,False,False,False,False,True,True,True,False,True,True",6,15
5,HDAIBXUZYFJSEOL,LOHDJX,"True,True,False,False,False,True,False,False,False,False,True,False,False,True,True",6,15
6,BZDQYLTKOGNXCHJ,KOGCHJ,"False,False,False,False,False,False,False,True,True,True,False,False,True,True,True",6,15
7,WHZVIPCMUTQYRSB,BSPIECRMUT,"False,False,False,False,True,True,True,True,True,True,False,False,True,True,True",9,15
8,JGYORKQBVSHAIXC,CXSHAI,"False,False,False,False,False,False,False,False,False,True,True,True,True,True,True",6,15
9,IWSCOGYPMBQTVUL,LUIWS,"True,True,True,False,False,False,False,False,False,False,False,False,False,True,True",5,15
10,EUWHYSLFQPNOJXC,CXJUW,"False,True,True,False,False,False,False,False,False,False,False,False,True,True,True",5,15
11,NKPRZSULEJXQHYA,AXNKPZSUL,"True,True,True,False,True,True,True,True,False,False,True,False,False,False,True",9,15
12,UJNMZWOTDQGKCRF,FRMNUJZ,"True,True,True,True,True,False,False,False,False,False,False,False,False,True,True",7,15
13,HGJQPFNZDBMSWRU,UNBSW,"False,False,False,False,False,False,True,False,False,True,False,True,True,False,True",5,15
14,QXWZDNYRMLOFHIC,NEMICO,"False,False,False,False,False,True,False,False,True,False,True,False,False,True,True",5,15
15,MAVGXLBQSIYKREH,HXMBSI,"True,False,False,False,True,False,True,False,True,True,False,False,False,False,True",6,15
16,KVDNXCITFPBJOGM,MOGJKN,"True,False,False,True,False,False,False,False,False,False,False,True,True,True,True",6,15
17,KOTWSIYXVPMDZHG,KOIGMN,"True,True,False,False,False,True,False,False,False,False,True,False,False,False,True",5,15
18,IERJZKPUHYQFVXW,XWZQR,"False,False,True,False,True,False,False,False,False,False,True,False,False,True,True",5,15
19,VJYWDCTFNHLAOBP,NOABP,"False,False,False,False,False,False,False,False,True,False,False,True,True,True,True",5,15
20,VKZMDRWNPHAUBQT,TEWNPHKZABOQ,"False,True,True,False,False,False,True,True,True,True,True,False,True,True,True",10,15
