trial,sequence,input,match,score,total
1,VOQNHARJZDCSUWE,SUWEAQUYZ,"False,False,True,False,False,True,False,False,True,False,False,True,True,True,True",7,15
2,IUOJXDERHMLVZST,ERHMLVZST,"False,False,False,False,False,False,True,True,True,True,True,True,True,True,True",9,15
3,SYDOTRIXPJVEMCU,MCUPJDOTVE,"False,False,True,True,True,False,False,False,True,True,True,True,True,True,True",10,15
4,YTLGOZSDHNQMRVK,RVQDHN,"False,False,False,False,False,False,False,True,True,True,True,False,True,True,False",6,15
5,DMALSFZEYJTHPQI,EYJTHPQLADM,"True,True,True,True,False,False,False,True,True,True,True,True,True,True,False",11,15
6,NZQVBJISCWLKGAM,LKGAVJ,"False,False,False,True,False,True,False,False,False,False,True,True,True,True,False",6,15
7,WEQCOSZIFRMBLDU,LDUZIFRQX,"False,False,True,False,False,False,True,True,True,True,False,False,True,True,True",8,15
8,JKDTSNXOAVPCBMZ,CMBZAVP,"False,False,False,False,False,False,False,False,True,True,True,True,True,True,True",7,15
9,VZDENFCJYWAITKB,WAITKBWJV,"True,False,False,False,False,False,False,True,False,True,True,True,True,True,True",8,15
10,VBPMXZTJHOUYKCA,HOUVCA,"True,False,False,False,False,False,False,False,True,True,True,False,False,True,True",6,15
11,CJIKMSYVWXHTDAE,WXHAET,"False,False,False,False,False,False,False,False,True,True,True,True,False,True,True",6,15
12,QRTOWMLHUPGIDNF,GIDNFAHL,"False,False,False,False,False,False,True,True,False,False,True,True,True,True,True",7,15
13,UQLVMGAOTWHISKD,BVC,"False,False,False,True,False,False,False,False,False,False,False,False,False,False,False",1,15
14,DGALVJRPUHZMSEK,RVPALV,"False,False,True,True,True,False,True,True,False,False,False,False,False,False,False",5,15
15,ALWHCKRNIYBGPZQ,BGPZQALV,"True,True,False,False,False,False,False,False,False,False,True,True,True,True,True",7,15
16,XLZFJHNOQYGIMSU,YGIMSUAL,"False,True,False,False,False,False,False,False,False,True,True,True,True,True,True",7,15
17,DNEVOSLGCIQBXZJ,VOSLBXIZJ,"False,False,False,True,True,True,True,False,False,True,False,True,True,True,True",9,15
18,RSKOHZBVNEQYJWP,WPBV,"False,False,False,False,False,False,True,True,False,False,False,False,False,True,True",4,15
19,FBUMKVESWPQZCDL,CDBVQL,"False,True,False,False,False,True,False,False,False,False,True,False,True,True,True",6,15
20,XSYZEJKFLTQIWNA,QWILN,"False,False,False,False,False,False,False,False,True,False,True,True,True,True,False",5,15
1,VGMZIFXCEHWRPKD,VGRKP,"True,True,False,False,False,False,False,False,False,False,False,True,True,True,False",5,15
2,CJQPYTAOGNURZVX,GUANZQRT,"False,False,True,False,False,True,True,False,True,True,True,True,True,False,False",8,15
3,EHAWTGZBVNQYXLD,EHATDYQ,"True,True,True,False,True,False,False,False,False,False,True,True,False,False,True",7,15
4,WSTAFVZHKXMYPOI,AOIST,"False,True,True,True,False,False,False,False,False,False,False,False,False,True,True",5,15
5,AJQXDPRWKBSIOLV,VJXOW,"False,True,False,True,False,False,False,True,False,False,False,False,True,False,True",5,15
6,FASCPWREHDBJTOY,TOYEGHB,"False,False,False,False,False,False,False,True,True,False,True,False,True,True,True",6,15
7,TSXNFKIPBAJZCQO,QOB,"False,False,False,False,False,False,False,False,True,False,False,False,False,True,True",3,15
8,HEOWACSIJVPRXZY,XYZJIH,"True,False,False,False,False,False,False,True,True,False,False,False,True,True,True",6,15
9,XDBCIGPLYNFRSZH,BICPLYNTHZ,"False,False,True,True,True,False,True,True,True,True,False,False,False,True,True",9,15
10,TOLKPUCRNSZWGXV,JXPS,"False,False,False,False,True,False,False,False,False,True,False,False,False,True,False",3,15
11,VYEIPGBJHTKZCQN,TQKNCA,"False,False,False,False,False,False,False,False,False,True,True,False,True,True,True",5,15
12,ZMSPTHNBJWAODCL,WAOCL,"False,False,False,False,False,False,False,False,False,True,True,True,False,True,True",5,15
13,XAICMGYNKQSVEUB,SICGAYUM,"False,True,True,True,True,True,True,False,False,False,True,False,False,True,False",8,15
14,SMEFTXYZJVNWKLB,SMEFTXYZKJB,"True,True,True,True,True,True,True,True,True,False,False,False,True,False,True",11,15
15,UCXZBKYNTJRDAMG,DRMGNZXCK,"False,True,True,True,False,True,False,True,False,False,True,True,False,True,True",9,15
16,RJOZQHUBYAIGTWF,FWJA,"False,True,False,False,False,False,False,False,False,True,False,False,False,True,True",4,15
17,PSJYDEAXQCZFITG,PSJFIGM,"True,True,True,False,False,False,False,False,False,False,False,True,True,False,True",6,15
18,KELJROQYBTCISND,KELG,"True,True,True,False,False,False,False,False,False,False,False,False,False,False,False",3,15
19,BDTWUINYFSOPZMR,BTWY,"True,False,True,True,False,False,False,True,False,False,False,False,False,False,False",4,15
20,PHOIGZSAWCXRLEJ,FOGLR,"False,False,True,False,True,False,False,False,False,False,False,True,True,False,False",4,15
1,WGZCOAEHNLRPVTI,PVTIGHWG,"True,True,False,False,False,False,False,True,False,False,False,True,True,True,True",7,15
2,HBVNKIQLXZFYODE,IQXLZD,"False,False,False,False,False,True,True,True,True,True,False,False,False,True,False",6,15
3,PWOYZAIRUGXDHLN,WUGXL,"False,True,False,False,False,False,False,False,True,True,True,False,False,True,False",5,15
4,DVFOMAJUBXKGQPN,PVAWDAS,"True,True,False,False,False,True,False,False,False,False,False,False,False,True,False",4,15
5,VCNMZYGORKJDSXH,KJVDL,"True,False,False,False,False,False,False,False,False,True,True,True,False,False,False",4,15
